year,month,day,y
2021,1,1,30
2021,1,2,30
2021,1,3,31
2021,1,4,28
2021,1,5,25
2021,1,6,39
2021,1,7,29
2021,1,8,22
2021,1,9,31
2021,1,10,35
2021,1,11,38
2021,1,12,31
2021,1,13,35
2021,1,14,23
2021,1,15,30
2021,1,16,22
2021,1,17,34
2021,1,18,31
2021,1,19,31
2021,1,20,31
2021,1,21,30
2021,1,22,26
2021,1,23,30
2021,1,24,16
2021,1,25,21
2021,1,26,21
2021,1,27,36
2021,1,28,23
2021,1,29,24
2021,1,30,27
2021,1,31,39
2021,2,1,28
2021,2,2,34
2021,2,3,18
2021,2,4,33
2021,2,5,18
2021,2,6,32
2021,2,7,28
2021,2,8,36
2021,2,9,37
2021,2,10,34
2021,2,11,27
2021,2,12,23
2021,2,13,26
2021,2,14,23
2021,2,15,29
2021,2,16,22
2021,2,17,25
2021,2,18,26
2021,2,19,33
2021,2,20,26
2021,2,21,43
2021,2,22,30
2021,2,23,29
2021,2,24,27
2021,2,25,28
2021,2,26,31
2021,2,27,36
2021,2,28,26
2021,3,1,29
2021,3,2,25
2021,3,3,29
2021,3,4,35
2021,3,5,30
2021,3,6,31
2021,3,7,35
2021,3,8,32
2021,3,9,33
2021,3,10,20
2021,3,11,20
2021,3,12,31
2021,3,13,29
2021,3,14,33
2021,3,15,37
2021,3,16,18
2021,3,17,29
2021,3,18,24
2021,3,19,34
2021,3,20,24
2021,3,21,27
2021,3,22,25
2021,3,23,20
2021,3,24,32
2021,3,25,27
2021,3,26,45
2021,3,27,21
2021,3,28,34
2021,3,29,32
2021,3,30,29
2021,3,31,26
2021,4,1,19
2021,4,2,22
2021,4,3,26
2021,4,4,31
2021,4,5,29
2021,4,6,23
2021,4,7,27
2021,4,8,34
2021,4,9,25
2021,4,10,26
2021,4,11,18
2021,4,12,26
2021,4,13,28
2021,4,14,25
2021,4,15,33
2021,4,16,28
2021,4,17,35
2021,4,18,22
2021,4,19,23
2021,4,20,26
2021,4,21,24
2021,4,22,27
2021,4,23,25
2021,4,24,31
2021,4,25,31
2021,4,26,19
2021,4,27,36
2021,4,28,28
2021,4,29,37
2021,4,30,36
2021,5,1,24
2021,5,2,22
2021,5,3,30
2021,5,4,27
2021,5,5,28
2021,5,6,24
2021,5,7,39
2021,5,8,31
2021,5,9,16
2021,5,10,32
2021,5,11,33
2021,5,12,25
2021,5,13,25
2021,5,14,42
2021,5,15,27
2021,5,16,35
2021,5,17,27
2021,5,18,33
2021,5,19,34
2021,5,20,30
2021,5,21,33
2021,5,22,24
2021,5,23,26
2021,5,24,35
2021,5,25,21
2021,5,26,34
2021,5,27,23
2021,5,28,40
2021,5,29,37
2021,5,30,25
2021,5,31,28
2021,6,1,27
2021,6,2,26
2021,6,3,34
2021,6,4,34
2021,6,5,29
2021,6,6,29
2021,6,7,25
2021,6,8,28
2021,6,9,39
2021,6,10,29
2021,6,11,19
2021,6,12,23
2021,6,13,30
2021,6,14,33
2021,6,15,34
2021,6,16,34
2021,6,17,31
2021,6,18,28
2021,6,19,20
2021,6,20,22
2021,6,21,31
2021,6,22,35
2021,6,23,36
2021,6,24,22
2021,6,25,24
2021,6,26,27
2021,6,27,18
2021,6,28,28
2021,6,29,25
2021,6,30,29
2021,7,1,34
2021,7,2,31
2021,7,3,25
2021,7,4,22
2021,7,5,21
2021,7,6,36
2021,7,7,28
2021,7,8,27
2021,7,9,20
2021,7,10,34
2021,7,11,20
2021,7,12,35
2021,7,13,35
2021,7,14,29
2021,7,15,27
2021,7,16,28
2021,7,17,23
2021,7,18,30
2021,7,19,35
2021,7,20,26
2021,7,21,31
2021,7,22,35
2021,7,23,25
2021,7,24,35
2021,7,25,29
2021,7,26,24
2021,7,27,31
2021,7,28,27
2021,7,29,37
2021,7,30,22
2021,7,31,28
2021,8,1,26
2021,8,2,22
2021,8,3,29
2021,8,4,30
2021,8,5,20
2021,8,6,16
2021,8,7,33
2021,8,8,27
2021,8,9,23
2021,8,10,36
2021,8,11,31
2021,8,12,30
2021,8,13,16
2021,8,14,36
